user_id,category,title,url,thumbnail_url,created_at,description,tags,memo,,
,개발>인프라,Namecheap,https://www.namecheap.com  ,,,Buy a domain and everything else you need,"infra,domain",,,
,개발>인프라,Cloudflare,https://www.cloudflare.com,,,"Connect, protect, and build everywhere","infra,dns,domain,protect",,,
,개발>인프라,Vercel,https://vercel.com/,,,Build and deploy on the AI Cloud,"infra,deploy",,,
,개발>인프라,AWS,https://aws.amazon.com/free/,,,AWS Free Tier,"infra,deploy,clude,file,db",,,
,개발>인프라>결제,Stripe,https://stripe.com/en-my,,,Financia linfrastructure to grow your revenue,"infra,payment",,,
,개발>인프라>결제,Lemon squeezy,https://www.lemonsqueezy.com/,,,"Payments, tax & subscriptions for software companies","infra,payment",,,
,개발>인프라>결제,Paddle,https://www.paddle.com/,,,The Merchant of Record for digital products,"infra,payment",,,
,개발>인프라>메일,Resend,https://www.resend.com,,,Email for developers,"infra,mail",,,
,개발>인프라>메일,Mailgun,https://www.mailgun.com/,,,Transactional Email Delivery Service & API for Developers ,"infra,mail",,,
,개발>인프라>메일,ReactMail,https://react.email/,,,The next generation of writing emails,"infra,mail",,,
,개발>인프라>etc,Sentry,https://sentry.io/,,,"Code breaks, fix it faster","infra,error",,,
,개발>인프라>etc,Upstash,https://upstash.com/,,,Serverless Data Platform. The single platform for all your data needs,"infra,cache",,,
,개발>인프라>etc,Algola,https://www.algolia.com/,,,AI search that finds what users need,"infra,search",,,
,개발>인프라>etc,OneSignal,https://onesignal.com/,,,The engagement platform thatcustomers |love,"infra,push",,,
,개발>디자인,Shadcn,https://ui.shadcn.com/,,,Tailwind CSS로 만들어진 예쁜 React 컴포넌트 라이브러리,"components,ui",,,
,개발>디자인>애니메이션,MagicUi,https://magicui.design/,,,UI library for Design Engineers,"components,animate",,,
,개발>디자인>애니메이션,21st,https://21st.dev/,,,"Discover, share & remix the best UI components","components,animate",,,
,개발>디자인>애니메이션,AceternityUi,https://ui.aceternity.com/,,,Make your websites look 10x beautiful,"components,ui",,,
,개발>디자인>아이콘,Lucide,https://lucide.dev/icons/,,,Beautiful & consistent icons,icon,,,
,개발>디자인>아이콘,Icones,https://icones.js.org/,,,,icon,다양한 아이콘의 집약체,,
,개발>디자인,DesignUs,https://ko.designus.design/,,,다양한 UI 소개,"design,reference",,,
